variant,input,n,rep,time_ns
qsort,A,10000000,13,357777546
qsort,A,10000000,14,358335096
alloc,D,10000000,0,368340832
alloc,D,10000000,1,368430504
alloc,D,10000000,2,368332608
alloc,D,10000000,3,368589498
alloc,D,10000000,4,369022316
alloc,D,10000000,5,368598338
alloc,D,10000000,6,368432316
alloc,D,10000000,7,368473368
alloc,D,10000000,8,368478552
alloc,D,10000000,9,368480038
alloc,D,10000000,10,368442476
alloc,D,10000000,11,368284454
alloc,D,10000000,12,368966312
alloc,D,10000000,13,368837294
alloc,D,10000000,14,368450612
shared,D,10000000,0,236815576
shared,D,10000000,1,236925926
shared,D,10000000,2,237202414
shared,D,10000000,3,236825858
shared,D,10000000,4,237139374
shared,D,10000000,5,236673106
shared,D,10000000,6,237132304
shared,D,10000000,7,236827702
shared,D,10000000,8,237009816
shared,D,10000000,9,237045060
shared,D,10000000,10,236874850
shared,D,10000000,11,236947924
shared,D,10000000,12,237515006
shared,D,10000000,13,236854108
shared,D,10000000,14,237320420
stdsort,D,10000000,0,85977242
stdsort,D,10000000,1,85600400
stdsort,D,10000000,2,85649260
stdsort,D,10000000,3,85612210
stdsort,D,10000000,4,85441106
stdsort,D,10000000,5,85132510
stdsort,D,10000000,6,85355528
stdsort,D,10000000,7,85644674
stdsort,D,10000000,8,85616344
stdsort,D,10000000,9,85187936
stdsort,D,10000000,10,85321764
stdsort,D,10000000,11,85562566
stdsort,D,10000000,12,85764724
stdsort,D,10000000,13,85456182
stdsort,D,10000000,14,85836496
qsort,D,10000000,0,435771026
qsort,D,10000000,1,436002460
qsort,D,10000000,2,435946664
qsort,D,10000000,3,435925332
qsort,D,10000000,4,435871648
qsort,D,10000000,5,435880014
qsort,D,10000000,6,435926954
qsort,D,10000000,7,436044214
qsort,D,10000000,8,435639640
qsort,D,10000000,9,435931812
qsort,D,10000000,10,435535114
qsort,D,10000000,11,435906350
qsort,D,10000000,12,435787308
qsort,D,10000000,13,436137188
qsort,D,10000000,14,435794132
alloc,E,10000000,0,373881072
alloc,E,10000000,1,373821252
alloc,E,10000000,2,373146016
alloc,E,10000000,3,373488364
alloc,E,10000000,4,372172004
alloc,E,10000000,5,373010272
alloc,E,10000000,6,373180920
alloc,E,10000000,7,373175432
alloc,E,10000000,8,373579180
alloc,E,10000000,9,373638962
alloc,E,10000000,10,373545292
alloc,E,10000000,11,374597176
alloc,E,10000000,12,373875592
alloc,E,10000000,13,373129666
alloc,E,10000000,14,373344668
shared,E,10000000,0,235240556
shared,E,10000000,1,234891308
shared,E,10000000,2,235413394
shared,E,10000000,3,235311252
shared,E,10000000,4,235111414
shared,E,10000000,5,234902150
shared,E,10000000,6,235615362
shared,E,10000000,7,235042476
shared,E,10000000,8,234678902
shared,E,10000000,9,234939934
shared,E,10000000,10,234781710
shared,E,10000000,11,235043452
shared,E,10000000,12,235362332
shared,E,10000000,13,234753290
shared,E,10000000,14,235810140
stdsort,E,10000000,0,141961160
stdsort,E,10000000,1,142039484
stdsort,E,10000000,2,142269372
stdsort,E,10000000,3,142101306
stdsort,E,10000000,4,141921988
stdsort,E,10000000,5,142283200
stdsort,E,10000000,6,142344632
stdsort,E,10000000,7,142486536
stdsort,E,10000000,8,142098230
stdsort,E,10000000,9,142249738
stdsort,E,10000000,10,142099142
stdsort,E,10000000,11,142353848
stdsort,E,10000000,12,142341314
stdsort,E,10000000,13,142249386
stdsort,E,10000000,14,141886196
qsort,E,10000000,0,358005046
qsort,E,10000000,1,357622632
qsort,E,10000000,2,357963722
qsort,E,10000000,3,358024722
qsort,E,10000000,4,357802642
qsort,E,10000000,5,357853766
qsort,E,10000000,6,358147296
qsort,E,10000000,7,358056768
qsort,E,10000000,8,357850010
qsort,E,10000000,9,357561866
qsort,E,10000000,10,358139416
qsort,E,10000000,11,357704796
qsort,E,10000000,12,357839824
qsort,E,10000000,13,357954914
qsort,E,10000000,14,357963236
alloc,R,100000000,0,14279446568
alloc,R,100000000,1,14274024476
alloc,R,100000000,2,14277174524
alloc,R,100000000,3,14265100700
alloc,R,100000000,4,14275488710
alloc,R,100000000,5,14292323264
alloc,R,100000000,6,14271690678
alloc,R,100000000,7,14274426622
alloc,R,100000000,8,14274078372
alloc,R,100000000,9,14271962144
shared,R,100000000,0,12990323466
shared,R,100000000,1,12991700980
shared,R,100000000,2,12989749408
shared,R,100000000,3,13005105372
shared,R,100000000,4,12996421266
shared,R,100000000,5,12993944182
shared,R,100000000,6,12991720684
shared,R,100000000,7,12994317524
shared,R,100000000,8,12998722100
shared,R,100000000,9,12991093120
stdsort,R,100000000,0,8077121768
stdsort,R,100000000,1,8079510736
stdsort,R,100000000,2,8077669580
stdsort,R,100000000,3,8076917364
stdsort,R,100000000,4,8076042956
stdsort,R,100000000,5,8078034232
stdsort,R,100000000,6,8077704058
stdsort,R,100000000,7,8076944850
stdsort,R,100000000,8,8080826136
stdsort,R,100000000,9,8075908138
qsort,R,100000000,0,18706031108
qsort,R,100000000,1,18704642560
qsort,R,100000000,2,18703682444
qsort,R,100000000,3,18705302592
qsort,R,100000000,4,18699419790
qsort,R,100000000,5,18705876352
qsort,R,100000000,6,18708522066
qsort,R,100000000,7,18704231324
qsort,R,100000000,8,18705185260
qsort,R,100000000,9,18704918226
alloc,A,100000000,0,4316057138
alloc,A,100000000,1,4315881802
alloc,A,100000000,2,4315601636
alloc,A,100000000,3,4316954854
alloc,A,100000000,4,4316591122
alloc,A,100000000,5,4316115636
